,text,loglikelihood
104,for,-2.5960035352587814
105,appeal,-3.2958227561096143
106,reagan,-2.6390432197205436
107,voter,-2.602675575549669
108,bias,-2.894622046787907
109,effectiveness,-1.6094238025393852
110,drop,-3.009902798651232
111,ly,-0.6931330706652302
112,double,-1.7176373871796182
113,edits,-2.5619722824361646
114,come,-1.4120398807838568
115,some,-2.5636023583325005
116,u,-1.6534406879561596
117,history,-2.8672161194397554
118,book,-3.085666400322215
119,like,-1.6731323333125296
120,peace,-2.0243676546020932
121,movement,-3.976547416671002
122,mad,-1.550583302516452
123,define,-2.9338427599411885
124,1950,-2.3978811629036554
125,even,-2.2354173617170385
126,totally,-2.3315585199725826
127,useless,-1.7129644814802256
128,2002,-4.219493595281391
129,only,-2.548892122726246
130,historical,-3.3964099930147826
131,interest,-2.6962016335604924
132,make,-2.4187266790963386
133,any,-2.688097532342941
134,evenobvious,-0.6931330706652302
135,connection,-3.2188617149734853
136,implication,-2.8903576480014497
137,language,-3.2843613125906073
138,chosen,-2.079427431785121
139,multiple,-2.292520647245829
140,professionspecific,-0.6931330706652302
141,consider,-1.5001073619712564
142,somehow,-3.1780397204532305
143,nonneutral,-1.9458960391605982
144,gandhi,-2.3025709830993306
145,think,-2.4759730982562163
146,eye,-2.5776742733442513
147,an,-2.5504436404685444
148,describes,-2.908706786669646
149,riot,-2.80334627101182
150,death,-2.167980829126566
151,penalty,-3.2958227561096143
152,war,-2.606163545601387
153,all,-1.3468733009915532
154,at,-2.7337978795652798
155,once,-2.4758427043733673
156,what,-1.986063946322655
157,do,-2.243173286873203
158,know,-2.205907686988043
159,doesnt,-2.672944771396225
160,guess,-2.2421618553037708
161,reality,-2.087726234599816
162,current,-3.7698691283723083
163,slightly,-1.9458960391605982
164,controversial,-3.2268298846226626
165,neutrality,-2.538959761163561
166,require,-3.202732333043602
167,negotiation,-2.3025709830993306
168,willingness,-2.3025709830993306
169,learn,-2.738673060669385
170,problem,-2.2755423107114114
171,mine,-2.244677004680428
172,may,-3.247726795369658
173,dislike,-1.466322958898712
174,disregard,-2.3978811629036554
175,fundamental,-2.538959761163561
176,axiom,-2.1972104674415043
177,philosphy,-0.6931330706652302
178,name,-3.297485958156217
179,recur,-1.6094238025393852
180,phrase,-3.301976621683992
181,fail,-2.1527587048706707
182,critical,-2.7849971323436233
183,distinction,-2.5649352475668215
184,versus,-2.564935247566822
185,assurance,-2.079427431785121
186,which,-2.9346304716794376
187,one,-2.5745046985829725
188,air,-2.447152211910438
189,force,-2.2686694314236493
190,general,-3.3141718947778105
191,incontext,-1.0985981787733947
192,disservice,-1.3862802512251755
193,reader,-3.1704351210680115
194,someone,-2.5607458824115445
195,here,-1.8286158951416676
196,research,-2.946927999489844
197,topic,-2.6111862652175772
198,they,-2.619437121529279
199,want,-1.815707760003919
200,context,-3.896895257723383
201,beyond,-2.781463559762312
202,wasnt,-2.401371567843424
203,claimed,-2.6149456681414827
204,model,-3.5263464147214463
205,itself,-3.5730335286940997
206,less,-2.538959761163561
207,npov,-3.4881946487570703
208,wed,-3.332190400280489
209,prefer,-2.555273336655085
210,newage,-0.6931330706652302
211,speak,-2.0940262312062736
212,lot,-2.6929224533974465
213,oldage,-0.6931330706652302
214,people,-2.1564290828828785
215,karl,-2.602675575549669
216,popper,-1.1700571427555395
217,pope,-2.3513611472687628
218,etc,-3.549962407792788
219,view,-3.0697390240049374
220,clearest,-0.3364581267264978
221,title,-3.82862728659438
222,would,-2.8976128188826213
223,particle,-3.2188617149734857
224,physic,-3.188402507488777
225,cosmology,-2.3978811629036554
226,say,-1.928876849025054
227,broader,-2.1972104674415043
228,treatment,-2.0614089262824424
229,issue,-3.0946104368461054
230,anthropic,-1.0985981787733947
231,principle,-2.908706786669646
232,cognitive,-2.1972104674415043
233,zoo,-1.79174535933334
234,accelerator,-1.0985981787733947
235,clear,-2.7124706882753604
236,while,-2.7842252295650414
237,still,-1.4683721399436473
238,look,-2.7725746123450663
239,so,-2.1313392217335396
240,yet,-2.288182245647231
241,settle,-2.7245653931587057
242,certain,-2.9254489678127196
243,we,-2.955410440171183
244,abandon,-2.674134539531814
245,search,-3.3715828019911496
246,arbitrary,-2.0476787334705406
247,foundation,-2.6390432197205436
248,ontology,-0.6931330706652302
249,suggest,-2.654081097085084
250,subject,-2.7961906054164074
251,question,-3.209515852555248
252,true,-2.6076680971527897
253,false,-2.547298106080715
254,situation,-2.312521313952499
255,march,-2.8108934766472027
256,such,-2.4557359556018294
257,saudi,-1.8971058749911662
258,proposal,-3.7954750792774794
259,land,-2.129617176308976
260,recognition,-3.6888653442192214
261,arab,-3.1060662208281413
262,country,-2.7534535708982877
263,day,-2.1663147931486226
264,formal,-2.602675575549669
265,league,-3.060256684796847
266,israeli,-4.241312642676031
267,under,-2.8347460248797995
268,command,-3.6888653442192214
269,ariel,-2.564935247566822
270,sharon,-2.8903576480014497
271,begin,-2.6896869525392986
272,invasion,-4.043037157939835
273,palestinian,-1.3621826996461153
274,selfrule,-1.0985981787733947
275,area,-3.493120767093126
276,userarab,-0.6931330706652302
277,next,-2.116606435026875
278,maybe,-2.33864703957314
279,could,-2.962479522183542
280,work,-2.7896474266536577
281,on,-2.4589243069889313
282,condescend,-0.9162766219794399
283,suggestion,-4.3630845148936475
284,reading,-2.7880787988810316
285,convention,-3.5553339515946987
286,fdl,-0.6931330706652302
287,read,-2.475092906904482
288,quite,-2.940368068576111
289,ago,-3.099258842600116
290,thanks,-3.3128241856789424
291,really,-2.27297051332304
292,bit,-2.8354591221289387
293,where,-1.7884395711988403
294,have,-2.29617181448217
295,no,-1.9397747067465025
296,thing,-1.7785500689145073
297,complain,-2.3025709830993306
298,because,-2.1844937865348104
299,felt,-2.0447418737972307
300,insult,-1.681203484933516
301,extremely,-2.8526173200186027
302,time,-2.3286844385977328
303,luck,-2.3513611472687628
304,jerk,0.33648634651592796
305,greglindahl,-0.6931330706652302
306,page,-2.570896757206773
307,need,-2.4987816520539523
308,disambiguation,-3.4499734359368723
309,important,-2.909405842972144
310,note,-3.3346504261213514
311,sysops,-2.01488891064755
312,bug,-2.80334627101182
313,administrative,-2.7880787988810316
314,feature,-4.595105740239875
315,truncates,-0.6931330706652302
316,change,-2.777590746116182
317,edit,-1.8809615844881074
318,please,-2.804991820173664
319,until,-2.544956780635935
320,information,-1.7777591173586
321,found,-2.888620028102909
322,thank,-3.454293097081389
323,remove,-2.4977207041473974
324,follow,-2.5051537250331073
325,early,-4.048868078250628
326,polish,-2.5649352475668215
327,ruler,-2.970400355674986
328,ficticious,-0.6931330706652302
329,therefore,-2.742522267278664
330,index,-1.9458960391605982
331,oda,-0.6931330706652302
332,von,-2.6390432197205436
333,haldensleben,-0.6931330706652302
334,her,-2.7285884641608162
335,husband,-2.3025709830993306
336,dagome,-0.6931330706652302
337,record,-2.745024660576836
338,first,-2.9488012438715243
339,polanen,-0.6931330706652302
340,tribe,-4.007319075337756
341,indicate,-4.269683339805247
342,document,-3.496493451571765
343,later,-2.78888818783659
344,develop,-3.34988997737989
345,poland,-3.2771306230974613
346,comment,-2.495762212130189
347,fictitious,-1.6094238025393852
348,deserves,-1.8281130035042146
349,least,-2.4776197805642055
350,backing,-2.833199234161501
351,ever,-1.6486445156926666
352,judaic,-0.9162766219794399
353,study,-3.444668383707179
354,program,-3.425875884357812
355,ultraorthodox,-2.564935247566822
356,jew,-0.575950816042237
357,rabbi,-2.3978811629036554
358,synagogue,-2.995718163659276
359,laugh,-0.5172424042015661
360,out,-2.10438901824182
361,room,-2.154650853022708
362,see,-2.5571793496423703
363,how,-2.3280358390950613
364,without,-2.4675867927956925
365,attach,-3.367281720091759
366,never,-2.065309550239336
367,role,-3.0539870717832516
368,judaism,-3.156986311255398
369,minimal,-2.708036091207495
370,when,-2.5212073508849113
371,compare,-3.0204107762496477
372,conservative,-3.3232217302977287
373,clergy,-2.484892539893285
374,traditional,-4.3040509833094545
375,western,-3.2883877776220958
376,sense,-2.702222121342075
377,word,-2.439253969886198
378,fact,-2.4919733548013894
379,exist,-2.970400355674986
380,essential,-2.564935247566822
381,minyan,-1.3862802512251755
382,quorum,-1.0985981787733947
383,ten,-2.21100378957384
384,adult,-2.319100285050541
385,male,-1.6094238025393852
386,law,-2.6567427968199446
387,empty,-1.6094238025393852
388,building,-3.9889699366695592
389,seem,-2.7657744350260014
390,strange,-3.1918330425855665
391,take,-2.1951018741457453
392,statement,-2.7670446443356047
393,anyone,-2.0337573949519325
394,who,-2.0803306382291806
395,actually,-2.497631565670715
396,something,-2.354272357476221
397,recognize,-3.3758654637831507
398,judaica,-0.6931330706652302
399,significant,-3.265745300872336
400,number,-3.4151207796112217
401,accept,-2.69253190467153
402,modern,-3.3623434384511763
403,orthodox,-3.871186901013176
404,responsa,-2.1972104674415043
405,instead,-2.3978811629036554
406,their,-2.7244553640008675
407,own,-2.0686553348032093
408,two,-3.0198917001933516
409,head,-1.622669029289406
410,also,-2.772977756877839
411,silly,-1.5098942071923522
412,point,-2.7526061549733085
413,draw,-3.540945214142599
414,sharp,-2.564935247566822
415,between,-3.144497299684623
416,orthodoxy,-2.3025709830993306
417,basis,-2.5323590771322086
418,affiliation,-3.367281720091759
419,b,-2.8278372910201157
420,c,-3.0040169664739707
421,case,-3.201876168607742
422,hashgacha,-0.6931330706652302
423,kosher,-1.504063286881559
424,certification,-1.3862802512251755
425,debate,-3.258082428126767
426,find,-2.9435170162815454
427,most,-3.254579797575565
428,literature,-4.043037157939835
429,apparently,-2.80058764857274
430,degree,-3.034938876812557
431,acceptance,-1.6739623236769563
432,example,-3.262687194513515
433,halav,-0.6931330706652302
434,yisrael,-1.0985981787733947
435,milk,-0.9554973351327213
436,rabbinical,-1.0985981787733947
437,supervision,-1.9458960391605982
438,during,-3.351483603215168
439,cow,-0.9162766219794399
440,modernorthodox,-0.6931330706652302
441,insist,-2.813396606865321
442,t,-3.028507986482267
443,moshe,-1.8717880670068765
444,feinstein,-1.0985981787733947
445,determine,-3.0539870717832516
446,american,-2.6512137553407986
447,government,-3.583504828561395
448,sufficient,-3.091028343463601
449,reject,-2.2437304830763973
450,reb,-1.6094238025393852
451,he,-2.207094469295953
452,call,-2.2665451608425684
453,lead,-3.519789014175287
454,halachic,-0.6931330706652302
455,authority,-1.9682017966748964
456,community,-2.6532278547125
457,past,-2.5739443175091874
458,fifty,-1.0985981787733945
459,year,-2.8265176948280186
460,ruling,-2.1972104674415043
461,right,-1.293386504332479
462,machmir,-1.0985981787733947
463,strict,-3.2958227561096143
464,themselves,-3.4691880008814975
465,meaning,-3.2188617149734857
466,pious,-1.0985981787733947
467,rejection,-2.1972104674415043
468,simply,-2.662032737945242
469,stricter,-0.6931330706652302
470,ovadya,-0.6931330706652302
471,yoseph,-0.6931330706652302
472,woman,-1.8571281185961914
473,wear,-2.079427431785121
474,pant,-1.2039586944312208
475,skirt,-1.2527488586006528
476,his,-2.5586965144766465
477,daughter,-1.3291218373852267
478,daughtersinlaw,-0.6931330706652302
479,caught,-2.415899668406334
480,dead,-1.79174535933334
481,way,-2.3878685636112253
482,cant,-1.858664519077069
483,stuff,-2.0518774800168904
484,danny,-3.9318115228296104
485,dunno,-1.6094238025393852
486,give,-1.5662923381704674
487,answer,-2.790274189444467
488,everything,-1.992416054795491
489,base,-3.222333940684235
490,source,-3.097997012779694
491,state,-2.5671732194072763
492,matter,-2.475230628981548
493,inconceivable,-1.0985981787733947
494,stop,-0.9998942686331682
495,try,-2.1208943795686226
496,remake,-1.0985981787733947
497,image,-3.6041241157641304
498,good,-2.589852975529772
499,frankly,-2.80334627101182
500,care,-1.577490755436376
501,resume,-2.3025709830993306
502,justify,-2.0281341373975703
503,nonsense,-2.2633502699460495
504,rk,-2.6390432197205436
505,attack,-1.8434173698776608
506,intellectual,-1.7706919501355076
507,arrogance,-1.7047339823437102
508,couple,-3.332190400280489
509,apparent,-2.6625737171307375
510,ignorance,-1.6625336278533338
511,put,-2.4257036685029547
512,very,-2.77949505518964
513,light,-3.147825941856734
514,professional,-2.1019002876371795
515,life,-1.2341117326019082
516,extensively,-3.091028343463601
517,field,-3.5972981506937307
518,developed,-2.674134539531814
519,relationship,-2.5199838597045554
520,many,-2.8590838552543487
521,involve,-3.087993439768447
522,several,-2.962678309581076
523,documentary,-3.044508327828708
524,film,-4.10538028851397
525,hate,2.61293032712293
526,nonultraorthodox,-0.6931330706652302
527,mark,-2.839064353613899
528,beating,-1.5404309310524338
529,shit,1.7439829152864217
530,nonorthodox,-1.0985981787733947
531,act,-2.036867817366325
532,love,-1.9190847817099415
533,them,-2.534644242598339
534,bad,-0.7919581925769996
535,hitler,2.2550582581197607
536,accuse,-1.826034432811972
537,create,-2.962748144421706
538,holocaust,-1.8845270927843059
539,tolerance,-2.4423329254744894
540,protest,-2.484892539893285
541,obviously,-2.186037166843379
542,immerse,-1.3862802512251755
543,worldview,-2.708036091207495
544,forest,-2.7725746123450663
545,tree,-2.484892539893285
546,violent,-1.178640886446931
547,hatespeech,1.410989471507044e-05
548,frightens,-1.0985981787733947
549,me,-1.2805939799277324
550,educuated,-0.6931330706652302
551,person,-2.1847879474429472
552,apologetics,-1.79174535933334
553,must,-0.4248690840705507
554,frighten,-0.980815143117011
555,occasion,-1.5040632868815589
556,hit,-2.6767835477033906
557,feel,-2.715029126698466
558,same,-2.8347666326015135
559,antagonism,-0.6931330706652302
560,distasteful,-0.6931330706652302
561,remark,-1.928946480846825
562,diatribe,-2.079427431785121
563,everyone,-1.900433665083841
564,sit,-1.165737481611023
565,together,-2.618423932517808
566,sing,-2.7300149979262702
567,shlomo,-1.3862802512251755
568,carlebach,-0.6931330706652302
569,niggun,-0.6931330706652302
570,though,-2.6255598693832565
571,shloime,-0.6931330706652302
572,davened,-0.6931330706652302
573,shul,-1.0985981787733947
574,mehitza,-0.6931330706652302
575,oh,-1.5373205086380413
576,haredi,-2.079427431785121
577,mean,-2.24886047699578
578,tremble,-1.6094238025393852
579,originally,-3.390009971169315
580,top,-3.1748294448229823
581,kind,-2.3118303085121275
582,funny,-1.3534904284021847
583,confuse,-3.352393107598008
584,before,-2.592881177957381
585,god,-0.9025464291675381
586,apology,-3.2771306230974613
587,english,-2.9606268438480057
588,watch,-2.372775241772579
589,cricket,-2.079427431785121
590,spent,-2.6672140966872395
591,army,-2.624654482268444
592,elvis,-1.79174535933334
593,glad,-2.282368275781811
594,get,-1.4241958179712852
595,improve,-3.33727946978796
596,recognizable,-1.0985981787733947
597,perhaps,-2.7687795413765146
598,type,-3.208811379119984
599,generally,-2.959350519488401
600,rock,-3.052413507335821
601,roll,-2.5257145344135403
602,folk,-2.484892539893285
603,include,-3.4182092213573667
604,performer,-1.466322958898712
605,joan,-1.9458960391605982
606,baez,-2.1972104674415043
607,bob,-1.3581093742584793
608,dylan,-0.22312944141949465
609,simon,-1.79174535933334
610,garfunkel,-0.6931330706652302
611,mama,0.18233566668866977
612,papa,-1.0985981787733947
613,others,-2.1482264860411138
614,ive,-2.891298824541513
615,clarify,-3.135480106034435
616,specifically,-3.62432682308165
617,typically,-3.332190400280489
618,far,-2.5079099097800337
619,recognise,-2.685563235355436
620,instrumentation,-1.3862802512251755
621,form,-3.3178016628283893
622,musician,-2.079427431785121
623,60,-3.1986590076559662
624,tom,-2.0932207539174565
625,paxton,-1.0985981787733947
626,phil,-5.6869612464451045
627,ochs,-0.6931330706652302
628,sang,-1.79174535933334
629,new,-3.1990931296510627
630,topical,-1.3862802512251755
631,material,-2.623042878374102
632,distinguish,-2.360839891223306
633,idiom,-1.9458960391605982
634,acoustic,-2.6390432197205436
635,instrument,-2.3025709830993306
636,arrangement,-2.708036091207495
637,often,-3.0445083278287077
638,melody,-2.1972104674415043
639,marketer,-0.6931330706652302
640,paragraph,-3.755355085488054
641,reflect,-3.194569022404441
642,common,-2.896872329022643
643,usage,-3.806648379875605
644,now,-2.2428435650581693
645,music,-2.8731158415669436
646,much,-2.636711310385565
647,gareth,1.0986263985628248
648,owen,-1.3862802512251755
649,latter,-3.1060662208281413
650,fair,-3.295822756109614
651,enough,-2.2575736171685947
652,imply,-3.9702778036574067
653,otherwise,-2.5217065130160017
654,lm,-1.79174535933334
655,wonder,-2.4702937404721323
656,unnecessarily,-2.3025709830993306
657,cynical,-2.3978811629036554
658,financial,-4.4308026889485985
659,rather,-2.743438018258411
660,artistic,-2.3025709830993306
661,incentive,-2.3978811629036554
662,musical,-2.8621867710347533
663,style,-2.807665932156336
664,these,-2.9281948001516844
665,excellent,-2.674134539531814
666,commercial,-3.476084579940558
667,career,-2.957496950839078
668,perform,-2.8093885854677825
669,soon,-1.7076622421227987
670,transform,-2.484892539893285
671,accompaniment,-0.6931330706652302
672,suit,-2.0243676546020932
673,popular,-3.144138168777549
674,taste,-1.3545315529105955
675,ya,-0.22882746253413225
676,agree,-3.0482606774472583
677,off,-1.1529695825555215
678,else,-2.3323129522980683
679,stab,-0.2876679625570657
680,deletion,-3.2846494555114885
681,merely,-2.6325285386993498
682,redundant,-2.3978811629036554
683,addition,-3.139818507633033
684,solve,-2.0074539321600313
685,tone,-2.186037166843379
686,mention,-3.1932739650250785
687,above,-2.587749925332993
688,original,-3.4404039849207217
689,puzzle,-3.40118327176744
690,correct,-2.6254375676647648
691,grammar,-2.25127768871178
692,left,-2.3954859521777006
693,inbut,-0.6931330706652302
694,unrecognizable,-0.6931330706652302
695,additionslots,-0.6931330706652302
696,add,-3.1354801060344344
697,ramble,-1.9458960391605982
698,disorganize,-1.6094238025393852
699,probably,-2.5798331022474588
700,best,-2.792593479235558
701,organize,-3.0204107762496477
702,btw,-2.4495531734479763
703,purist,-2.079427431785121
704,sound,-2.9014074841880344
705,author,-3.5077930068256986
706,skiffle,-0.6931330706652302
707,whence,-1.3862802512251755
708,beatles,-3.40118327176744
709,sprang,-0.6931330706652302
710,evidently,-1.9458960391605982
711,1950s,-2.564935247566822
712,certainly,-3.084513662442407
713,stole,-1.3217417300876044
714,er,-1.6094238025393852
715,utilised,-0.6931330706652302
716,full,-2.0718228323999015
717,biographical,-1.9458960391605982
718,detail,-2.8743573066550088
719,down,-0.8311387436846739
720,birth,-3.5263464147214463
721,marker,-3.044508327828708
722,moment,-3.5481654621160863
723,wr,-1.3862802512251755
724,aspect,-2.995718163659276
725,belarus,-2.1972104674415043
726,geopolitical,-1.3862802512251755
727,entity,-3.4177125737186507
728,real,-1.826549281528032
729,existence,-2.3025709830993306
730,tbc,-1.0985981787733947
731,should,-2.1520951348396857
732,express,-2.4383725242583925
733,special,-2.8903576480014497
734,delivery,-2.079427431785121
735,stamp,-1.9458960391605982
736,united,-3.6224202448110683
737,definite,-1.8717880670068765
738,difference,-2.952489429108456
739,mail,-2.8621867710347533
740,defunct,-2.079427431785121
741,butt,0.4964509962086062
742,last,-2.3470227456701647
743,14,-2.6779586359702168
744,hour,-1.8170631673176296
745,andre,-1.0985981787733947
746,rein,-0.4054509982134493
747,him,-2.2635377523701212
748,log,-3.208811379119984
749,stern,-1.4469048730416103
750,warn,-1.5719486913728389
751,1314,-0.6931330706652302
752,aug,-2.3513611472687628
753,pdt,-1.0985981787733947
754,owe,-2.8903576480014497
755,shuffle,-1.79174535933334
756,foot,-2.3149935030978877
757,floor,-1.2992688742355458
758,well,-2.4782214010762624
759,legal,-3.062207904928109
760,scholar,-3.2484205172150302
761,moreover,-3.82862728659438
762,response,-2.5336827040627172
763,dubious,-3.912008895533431
764,assertion,-2.9311796425217045
765,qua,-1.79174535933334
766,decision,-2.8183841483763605
767,process,-2.8564560963257684
768,place,-2.57164346630194
769,main,-3.6549637925435396
770,disagree,-2.4716473131432646
771,enactment,-1.0985981787733947
772,statute,-2.079427431785121
773,fall,-2.813396606865321
774,legislation,-2.3978811629036554
775,discuss,-2.917756622189564
776,ambit,-0.6931330706652302
777,particular,-3.0985755490989835
778,statutory,-1.9458960391605982
779,interpretation,-3.7256793173419376
780,contract,-3.8501334918153436
781,related,-2.855018281556141
782,sociology,-2.7725746123450663
783,political,-3.072679204795404
784,science,-3.7518401433806097
785,foremost,-1.7047339823437102
786,body,-2.6810074188195756
787,knowledge,-3.1508887313872798
788,academic,-2.9444248692717254
789,refer,-3.003190178497977
790,part,-3.258082428126767
791,parcel,-1.0985981787733947
792,discussion,-2.7951543000972316
793,profession,-2.3978811629036554
794,application,-3.4339730945904314
795,practice,-3.9019585596799296
796,tendentious,-2.1972104674415043
797,activity,-2.8526173200186027
798,bioprospecting,-0.6931330706652302
799,always,-2.7924647708242856
800,heard,-2.617810999614769
801,bioprospection,-0.6931330706652302
802,pedantic,-2.079427431785121
803,ear,-1.6094238025393852
804,great,-3.045794501639452
805,weve,-2.517682362716276
806,free,-1.8096991629499357
807,turnofthecentury,-1.0985981787733947
808,christian,-3.3638274852236716
809,audienceand,-0.6931330706652302
810,hence,-2.610055682847291
811,course,-2.5140336748007845
812,wikipedia,-2.2915409879857513
813,suppose,-2.3108697859140257
814,neutralpointofview,-1.3862802512251755
815,sure,-2.6601227355115977
816,o,-2.282368275781811
817,anonymous,-2.840525274253574
818,uploader,-2.079427431785121
819,upload,-4.158868973464957
820,start,-2.6153454282907207
821,youve,-1.6168039098370077
822,uploaded,-4.158868973464957
823,unbiased,-2.538959761163561
824,havent,-2.3534294003328218
825,either,-2.8452961558703294
826,recall,-4.1108597542785965
827,extreme,-2.8564560963257684
828,position,-3.190462240451788
829,usually,-3.3615180153750086
830,dismissive,-1.3862802512251755
831,ironic,-1.2527488586006528
832,fringe,-2.833199234161501
833,held,-2.9231474708244405
834,majority,-3.2525727723157973
835,feminist,-2.1972104674415043
836,group,-3.3304882722099585
837,local,-3.5723315279632697
838,feminism,-2.079427431785121
839,especially,-2.299339962517884
840,within,-3.009902798651232
841,member,-3.1378926524398185
842,truly,-2.1768015958102973
843,commit,-1.41367922541329
844,maintain,-3.091028343463601
845,hope,-2.362290217800953
846,too,-2.1601163430352637
847,convince,-3.091028343463601
848,attempt,-2.445671826740004
849,carefully,-2.4509909882176037
850,belief,-3.028507986482267
851,subgroup,-1.79174535933334
852,necessarily,-3.784175524023546
853,whole,-2.3687528899806316
854,judgement,-2.5336827040627172
855,buy,-2.21100378957384
856,isnt,-2.252169351722262
857,steer,-1.9458960391605982
858,another,-2.2749194517688207
859,happy,-2.815746784210275
860,holiday,-3.258082428126767
861,dmerrill,-0.6931330706652302
862,concept,-3.414428498517461
863,microevolution,-1.0985981787733947
864,macroevolution,-1.0985981787733947
865,over,-2.0609653689453857
866,evolution,-2.7245653931587057
867,dispute,-3.2794863367899207
868,indeed,-3.202732333043602
869,scientifically,-1.6094238025393852
870,almost,-3.2875582462597204
871,doubt,-2.7568262553769274
872,able,-2.665018706123804
873,stand,-1.9502157003051148
874,merit,-2.9444248692717254
875,defend,-1.4068995384279113
876,every,-2.2711741290386582
877,various,-3.3770857201883797
878,present,-2.9368776636363423
879,alternative,-3.3928150220969235
880,however,-3.5822963691998266
881,outlandish,-1.79174535933334
882,zany,-0.6931330706652302
883,scienntists,-0.6931330706652302
884,link,-2.981095644791734
885,each,-3.2888540867935205
886,accepted,-3.060256684796847
887,ed,-2.833199234161501
888,poor,-2.432248806407863
889,wrong,-2.038269359291613
890,already,-2.4373035770694873
891,cover,-3.7809234886371685
892,serious,-1.9587994439965062
893,math,-3.2958227561096143
894,forumulation,-0.6931330706652302
895,axelboldt,-0.6931330706652302
896,yep,-1.2809197355673492
897,twin,-2.1972104674415043
898,city,-3.26505109744286
899,originate,-2.740825914030486
900,relevant,-2.9813294262071763
901,empirical,-2.1972104674415043
902,million,-2.529706555683078
903,horribly,-2.3025709830993306
904,offend,-2.417881829610325
905,mythology,-2.5257145344135403
906,justifiable,-0.6931330706652302
907,avoid,-3.267651879142918
908,few,-3.1279556160558193
909,oversensitive,-0.4054509982134493
910,ninny,-0.6931330706652302
911,reasonable,-3.380980564449921
912,nonpejoritive,-0.6931330706652302
913,reason,-2.534249436863378
914,scientific,-4.18964063213171
915,personally,-2.9299667860964953
916,wish,-1.8951809465815816
917,restore,-2.8903576480014497
918,ldc,-0.6931330706652302
919,historian,-3.02527696590082
920,practiving,-0.6931330706652302
921,rabbinicpharisaic,-0.6931330706652302
922,canonize,-0.6931330706652302
923,mishna,-1.0985981787733947
924,200,-1.7917453593333397
925,ce,-3.091028343463601
926,compilation,-2.833199234161501
927,teaching,-2.564935247566822
928,jesus,-2.833199234161501
929,150,-2.8903576480014497
930,after,-2.6694638164212554
931,ummm,-0.6931330706652302
932,us,-3.030809483470546
933,imperial,-3.4657217929050113
934,measurement,-1.2039586944312208
935,si,-2.079427431785121
936,translation,-3.091028343463601
937,order,-2.7515212031472336
938,anders,-1.3862802512251755
939,törlind,-1.0985981787733947
940,checked,-3.486341080107747
941,license,-4.634714878334921
